cursor,n_train,n_test,best_iter,mae,rmse,pinball_p50,naive_mae_lag24h,improvement_pct,test_lmp_mean,test_lmp_std,regime,n_spikes_over_100
2024-09-01T00:00:00+00:00,68184,2016,170,1.8012797658290354,2.9546826814044596,0.9006398829145177,4.693068253968254,61.61829173684078,22.965745039682538,10.188727579312072,calm,0
2024-10-01T00:00:00+00:00,76824,2016,62,6.875443600399795,25.247357627941664,3.4377218001998977,8.87968253968254,22.571065241645428,34.47096726190476,35.009471020165115,volatile,86
2024-10-31T00:00:00+00:00,85464,2016,299,3.3802051008343885,5.932952606996874,1.6901025504171943,10.187469841269841,66.81997440482185,22.656357738095238,14.06872387842213,calm,5
2024-11-30T00:00:00+00:00,94104,2016,155,3.7317080455989253,6.123659874532386,1.8658540227994627,11.361402976190476,67.1545138094364,33.28773650793651,14.149437497483866,calm,11
2024-12-30T00:00:00+00:00,102744,2016,165,2.2764288520277693,3.5648319422311254,1.1382144260138847,9.511084722222222,76.06551809270508,16.70370376984127,11.32928151226303,calm,0
2025-01-29T00:00:00+00:00,111384,2016,153,2.8996092160790394,4.602245612607734,1.4498046080395197,9.225014087301586,68.5679697761068,22.01539126984127,12.536077519159468,calm,0
2025-02-28T00:00:00+00:00,120024,2016,325,4.040694574033903,6.157278970355625,2.0203472870169517,16.316872817460318,75.23609689652022,28.523242857142858,17.718819110192435,calm,1
2025-03-30T00:00:00+00:00,128664,2016,126,4.9943204445644405,9.8455363343095,2.4971602222822202,19.967976785714285,74.98835010596801,39.11526448412698,28.389815065877205,calm,72
2025-04-29T00:00:00+00:00,137304,2016,153,4.086538775964854,7.240822531394168,2.043269387982427,15.012667261904761,72.77939552863728,32.67053988095238,21.020143488111604,calm,24
2025-05-29T00:00:00+00:00,145944,2016,836,3.2747533364801744,5.157597392030046,1.6373766682400872,11.40135119047619,71.27749788800777,35.78978253968254,15.657092761269578,calm,3
2025-06-28T00:00:00+00:00,154584,2016,278,2.4384517651647037,4.662688412689191,1.2192258825823519,7.478679166666667,67.394619947956,34.3029869047619,14.628282742996163,calm,20
2025-07-28T00:00:00+00:00,163224,2016,756,6.709719344922985,22.279829564085702,3.3548596724614925,24.63913253968254,72.76803745376729,47.53155158730159,56.85846765015541,volatile,78
2025-08-27T00:00:00+00:00,171864,2016,203,2.9029330101306527,4.711880179951108,1.4514665050653264,10.309185119047617,71.84129514982625,38.77818353174604,18.879370090443622,calm,46
2025-09-26T00:00:00+00:00,180504,2016,153,2.4875399253406045,4.219876424266587,1.2437699626703023,7.8091140873015865,68.14568339594888,32.99029087301587,16.180339248286902,calm,3
2025-10-26T00:00:00+00:00,189144,2016,568,4.123825038603225,6.8213087118003015,2.0619125193016123,17.335737896825396,76.21200168607534,35.24503333333333,21.90906529836134,calm,30
2025-11-25T00:00:00+00:00,197784,2016,169,4.254807934071916,7.298702853115574,2.127403967035958,17.804999007936505,76.10329586552994,35.85128055555556,22.10719125002316,calm,39
